Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
0.5,18.48,,37.29,11.01,,,,,,,,5.63,77.96,,,,,,,,,,,,,,,,,
1,37.98,,39.05,11.03,,,,,,,,19.93,92.26,,,,,,,,,,,,,,,,,
1.5,57.66,,39.38,11.04,,,,,,,,44.04,116.36,,,,,,,,,,,,,,,,,
2,77.43,,39.56,11.05,,,,,,,,78,150.33,,,,,,,,,,,,,,,,,
2.5,97.22,,39.57,11.06,,,,,,,,121.86,194.19,,,,,,,,,,,,,,,,,
3,116.96,,39.47,11.07,,,,,,,,175.58,247.93,,,,,,,,,,,,,,,,,
3.5,136.65,,39.37,11.09,,,,,,,,239.2,311.53,,,,,,,,,,,,,,,,,
4,156.3,,39.3,11.1,,,,,,,,312.62,384.97,,,,,,,,,,,,,,,,,
4.5,175.92,,39.24,11.12,,,,,,,,395.87,468.22,,,,,,,,,,,,,,,,,
5,195.46,,39.07,11.14,,,,,,,,488.91,561.27,,,,,,,,,,,,,,,,,
5.5,214.84,,38.72,11.16,,,,,,,,591.71,664.04,,,,,,,,,,,,,,,,,
6,234.02,,38.33,11.19,,,,,,,,704.13,776.46,,,,,,,,,,,,,,,,,
6.5,253.02,,37.95,11.21,,,,,,,,826.07,898.42,,,,,,,,,,,,,,,,,
7,271.84,,37.61,11.24,,,,,,,,957.49,1029.83,,,,,,,,,,,,,,,,,
7.5,290.54,,37.37,11.27,,,,,,,,1098.27,1170.61,,,,,,,,,,,,,,,,,
8,309.18,,37.3,11.3,,,,,,,,1248.39,1320.72,,,,,,,,,,,,,,,,,
8.5,328.14,,37.99,11.33,,,,,,,,1407.89,1480.23,,,,,,,,,,,,,,,,,
9,347.76,,39.43,11.36,,,,,,,,1577,1649.36,,,,,,,,,,,,,,,,,
9.5,368.73,,42.25,11.39,,,,,,,,1756.28,1828.62,,,,,,,,,,,,,,,,,
10,390.84,,44.35,11.43,,,,,,,,1946.38,2018.71,,,,,,,,,,,,,,,,,
10.5,413.22,,44.8,11.46,,,,,,,,2147.6,2219.94,,,,,,,,,,,,,,,,,
11,435.88,,45.39,11.5,,,,,,,,2360.08,2432.42,,,,,,,,,,,,,,,,,
11.5,458.95,,46.24,11.53,,,,,,,,2584,2656.34,,,,,,,,,,,,,,,,,
12,482.56,,47.33,11.57,,,,,,,,2819.6,2891.93,,,,,,,,,,,,,,,,,
12.5,496.08,,21.82,0,,,,,,,,3066.27,3138.6,,,,,,,,,,,,,,,,,
13,483.56,,24.95,0,,,,,,,,3311.05,3383.37,,,,,,,,,,,,,,,,,
13.5,471.47,,24.1,0,,,,,,,,3549.66,3621.98,,,,,,,,,,,,,,,,,
14,459.79,,23.29,0,,,,,,,,3782.32,3854.66,,,,,,,,,,,,,,,,,
14.5,448.5,,22.51,0,,,,,,,,4009.28,4081.6,,,,,,,,,,,,,,,,,
15,437.58,,21.77,0,,,,,,,,4230.67,4302.99,,,,,,,,,,,,,,,,,
15.5,427.01,,21.06,0,,,,,,,,4446.68,4519.01,,,,,,,,,,,,,,,,,
16,416.79,,20.39,0,,,,,,,,4657.5,4729.84,,,,,,,,,,,,,,,,,
16.5,406.88,,19.75,0,,,,,,,,4863.35,4935.64,,,,,,,,,,,,,,,,,
17,397.28,,19.14,0,,,,,,,,5064.47,5136.56,,,,,,,,,,,,,,,,,
17.5,387.97,,18.57,0,,,,,,,,5260.89,5332.76,,,,,,,,,,,,,,,,,
18,378.93,,18.02,0,,,,,,,,5452.69,5524.38,,,,,,,,,,,,,,,,,
18.5,370.16,,17.5,0,,,,,,,,5640.09,5711.54,,,,,,,,,,,,,,,,,
19,361.63,,17.01,0,,,,,,,,5823.14,5894.39,,,,,,,,,,,,,,,,,
19.5,353.31,,16.59,0,,,,,,,,6002.04,6073.02,,,,,,,,,,,,,,,,,
20,345.17,,16.24,0,,,,,,,,6176.79,6247.54,,,,,,,,,,,,,,,,,
20.5,337.14,,16.06,0,,,,,,,,6347.51,6418.03,,,,,,,,,,,,,,,,,
21,329.1,,16.08,0,,,,,,,,6514.2,6584.5,,,,,,,,,,,,,,,,,
21.5,320.99,,16.24,0,,,,,,,,6676.91,6746.94,,,,,,,,,,,,,,,,,
22,312.77,,16.48,0,,,,,,,,6835.5,6905.29,,,,,,,,,,,,,,,,,
22.5,304.42,,16.72,0,,,,,,,,6989.94,7059.5,,,,,,,,,,,,,,,,,
23,295.98,,16.91,0,,,,,,,,7140.2,7209.5,,,,,,,,,,,,,,,,,
23.5,287.5,,16.95,0,,,,,,,,7286.22,7355.27,,,,,,,,,,,,,,,,,
24,279.08,,16.82,0,,,,,,,,7428.01,7496.81,,,,,,,,,,,,,,,,,
24.5,270.78,,16.56,0,,,,,,,,7565.64,7634.18,,,,,,,,,,,,,,,,,
25,262.59,,16.37,0,,,,,,,,7699.16,7767.42,,,,,,,,,,,,,,,,,
25.5,254.55,,16.06,0,,,,,,,,7828.59,7896.6,,,,,,,,,,,,,,,,,
26,246.7,,15.65,0,,,,,,,,7954.05,8021.81,,,,,,,,,,,,,,,,,
26.5,239.06,,15.25,0,,,,,,,,8075.53,8143.14,,,,,,,,,,,,,,,,,
27,231.61,,14.87,0,,,,,,,,8193.1,8260.71,,,,,,,,,,,,,,,,,
27.5,224.33,,14.52,0,,,,,,,,8306.99,8374.59,,,,,,,,,,,,,,,,,
28,217.23,,14.18,0,,,,,,,,8417.29,8484.89,,,,,,,,,,,,,,,,,
28.5,210.28,,13.86,0,,,,,,,,8524.06,8591.67,,,,,,,,,,,,,,,,,
29,203.49,,13.56,0,,,,,,,,8627.39,8695.01,,,,,,,,,,,,,,,,,
29.5,196.84,,13.28,0,,,,,,,,8727.4,8795,,,,,,,,,,,,,,,,,
30,190.32,,13.01,0,,,,,,,,8824.09,8891.69,,,,,,,,,,,,,,,,,
30.5,183.94,,12.74,0,,,,,,,,8917.55,8985.17,,,,,,,,,,,,,,,,,
31,177.68,,12.5,0,,,,,,,,9007.87,9075.48,,,,,,,,,,,,,,,,,
31.5,171.54,,12.27,0,,,,,,,,9095.08,9162.69,,,,,,,,,,,,,,,,,
32,165.51,,12.05,0,,,,,,,,9179.24,9246.86,,,,,,,,,,,,,,,,,
32.5,159.58,,11.84,0,,,,,,,,9260.42,9328.04,,,,,,,,,,,,,,,,,
33,153.74,,11.65,0,,,,,,,,9338.68,9406.27,,,,,,,,,,,,,,,,,
33.5,148,,11.47,0,,,,,,,,9414.03,9481.62,,,,,,,,,,,,,,,,,
34,142.34,,11.3,0,,,,,,,,9486.52,9554.11,,,,,,,,,,,,,,,,,
34.5,136.76,,11.15,0,,,,,,,,9556.19,9623.79,,,,,,,,,,,,,,,,,
35.02,131.04,,11,0,,,,,,,,9625.72,9693.32,,,,,,,,,,,,,,,,,
35.52,125.6,,10.86,0,,,,,,,,9689.79,9757.39,,,,,,,,,,,,,,,,,
36.02,120.23,,10.74,0,,,,,,,,9751.15,9818.75,,,,,,,,,,,,,,,,,
36.52,114.92,,10.62,0,,,,,,,,9809.84,9877.44,,,,,,,,,,,,,,,,,
37.02,109.66,,10.51,0,,,,,,,,9865.91,9933.49,,,,,,,,,,,,,,,,,
37.52,104.46,,10.41,0,,,,,,,,9919.33,9986.92,,,,,,,,,,,,,,,,,
38.02,99.3,,10.31,0,,,,,,,,9970.18,10037.75,,,,,,,,,,,,,,,,,
38.52,94.19,,10.23,0,,,,,,,,10018.43,10086.02,,,,,,,,,,,,,,,,,
39.02,89.12,,10.15,0,,,,,,,,10064.16,10131.74,,,,,,,,,,,,,,,,,
39.52,84.09,,10.07,0,,,,,,,,10107.35,10174.93,,,,,,,,,,,,,,,,,
40.02,79.09,,10,0,,,,,,,,10148.03,10215.61,,,,,,,,,,,,,,,,,
40.52,74.13,,9.94,0,,,,,,,,10186.21,10253.79,,,,,,,,,,,,,,,,,
41.02,69.19,,9.88,0,,,,,,,,10221.92,10289.5,,,,,,,,,,,,,,,,,
41.52,64.29,,9.82,0,,,,,,,,10255.18,10322.75,,,,,,,,,,,,,,,,,
42.02,59.42,,9.77,0,,,,,,,,10285.96,10353.54,,,,,,,,,,,,,,,,,
42.54,54.37,,9.72,0,,,,,,,,10315.39,10382.98,,,,,,,,,,,,,,,,,
43.04,49.55,,9.68,0,,,,,,,,10341.22,10408.81,,,,,,,,,,,,,,,,,
43.54,44.75,,9.64,0,,,,,,,,10364.64,10432.23,,,,,,,,,,,,,,,,,
44.04,39.97,,9.61,0,,,,,,,,10385.66,10453.24,,,,,,,,,,,,,,,,,
44.54,35.21,,9.57,0,,,,,,,,10404.29,10471.85,,,,,,,,,,,,,,,,,
45.04,30.48,,9.54,0,,,,,,,,10420.49,10488.07,,,,,,,,,,,,,,,,,
45.54,25.78,,9.52,0,,,,,,,,10434.33,10501.91,,,,,,,,,,,,,,,,,
46.04,21.12,,9.49,0,,,,,,,,10445.81,10513.37,,,,,,,,,,,,,,,,,
46.54,16.51,,9.47,0,,,,,,,,10454.89,10522.46,,,,,,,,,,,,,,,,,
47.04,12.02,,9.45,0,,,,,,,,10461.62,10529.18,,,,,,,,,,,,,,,,,
47.54,7.81,,9.42,0,,,,,,,,10465.98,10533.55,,,,,,,,,,,,,,,,,
48.04,4.7,,9.4,0,,,,,,,,10468,10535.56,,,,,,,,,,,,,,,,,
48.54,5.25,,9.42,0,,,,,,,,10467.66,10535.22,,,,,,,,,,,,,,,,,
49.04,8.79,,9.44,0,,,,,,,,10464.99,10532.52,,,,,,,,,,,,,,,,,
49.54,13.09,,9.43,0,,,,,,,,10459.92,10527.46,,,,,,,,,,,,,,,,,
50.04,17.58,,9.4,0,,,,,,,,10452.51,10520.05,,,,,,,,,,,,,,,,,
50.54,22.13,,9.36,0,,,,,,,,10442.75,10510.29,,,,,,,,,,,,,,,,,
51.04,26.69,,9.31,0,,,,,,,,10430.67,10498.2,,,,,,,,,,,,,,,,,
51.54,31.24,,9.25,0,,,,,,,,10416.25,10483.79,,,,,,,,,,,,,,,,,
52.04,35.76,,9.19,0,,,,,,,,10399.54,10467.08,,,,,,,,,,,,,,,,,
