Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
0.12,0.06,,0.07,11.03,,,,,,,,0.9,73.37,,,,,,,,,,,,,,,,,
0.22,0.06,,0.07,11.03,,,,,,,,0.91,73.37,,,,,,,,,,,,,,,,,
0.34,0.07,,0.08,11.03,,,,,,,,0.92,73.38,,,,,,,,,,,,,,,,,
0.46,0.09,,0.08,11.03,,,,,,,,0.93,73.39,,,,,,,,,,,,,,,,,
0.56,0.1,,0.09,11.03,,,,,,,,0.93,73.4,,,,,,,,,,,,,,,,,
0.66,0.11,,0.09,11.03,,,,,,,,0.94,73.41,,,,,,,,,,,,,,,,,
0.76,0.12,,0.1,11.03,,,,,,,,0.96,73.42,,,,,,,,,,,,,,,,,
0.86,0.13,,0.11,11.03,,,,,,,,0.97,73.43,,,,,,,,,,,,,,,,,
0.96,0.14,,0.11,11.03,,,,,,,,0.98,73.44,,,,,,,,,,,,,,,,,
1.06,0.15,,0.12,11.03,,,,,,,,1,73.46,,,,,,,,,,,,,,,,,
1.2,0.17,,0.12,11.03,,,,,,,,1.02,73.48,,,,,,,,,,,,,,,,,
1.32,0.19,,0.13,11.03,,,,,,,,1.04,73.5,,,,,,,,,,,,,,,,,
1.44,0.2,,0.14,11.03,,,,,,,,1.06,73.53,,,,,,,,,,,,,,,,,
1.54,0.22,,0.14,11.03,,,,,,,,1.08,73.55,,,,,,,,,,,,,,,,,
1.68,0.24,,0.15,11.03,,,,,,,,1.12,73.58,,,,,,,,,,,,,,,,,
1.78,0.26,,0.16,11.03,,,,,,,,1.14,73.61,,,,,,,,,,,,,,,,,
1.9,0.28,,0.16,11.03,,,,,,,,1.17,73.64,,,,,,,,,,,,,,,,,
2,0.29,,0.17,11.03,,,,,,,,1.2,73.67,,,,,,,,,,,,,,,,,
2.1,0.31,,0.17,11.03,,,,,,,,1.23,73.7,,,,,,,,,,,,,,,,,
2.2,0.33,,0.18,11.03,,,,,,,,1.26,73.73,,,,,,,,,,,,,,,,,
2.32,0.35,,0.18,11.03,,,,,,,,1.31,73.77,,,,,,,,,,,,,,,,,
