Time,Surface Speed (m/s),GForce (g),Acceleration (m/s^2),Thrust (kN),TWR,Mass (t),Pitch (deg),Heading (deg),Roll (deg),Angle of Attack (deg),Mach number,Altitude from Terrain (m),Altitude from the Sea (m),Downrange Distance (m),Latitude (deg),Longitude (deg),Apoapsis (m),Periapsis (m),Time to Apoapsis (s),Time to Periapsis (s),Inclination (deg),Orbital Velocity (m/s),Gravity (m/s^2),Target Distance (m),Target Speed (m/s),Stage DeltaV (m/s),Vessel DeltaV (m/s),Pressure (kPa),External Temperature (K),
0.5,0.76,,1.1,16.6,,,,,,,,0.61,73.02,,,,,,,,,,,,,,,,,
1,1.32,,1.12,16.6,,,,,,,,1.14,73.55,,,,,,,,,,,,,,,,,
1.5,1.89,,1.14,16.6,,,,,,,,1.95,74.36,,,,,,,,,,,,,,,,,
2,2.47,,1.16,16.6,,,,,,,,3.04,75.45,,,,,,,,,,,,,,,,,
2.5,3.06,,1.19,16.6,,,,,,,,4.43,76.84,,,,,,,,,,,,,,,,,
3,3.67,,1.21,16.6,,,,,,,,6.12,78.53,,,,,,,,,,,,,,,,,
3.5,4.28,,1.23,16.6,,,,,,,,8.11,80.52,,,,,,,,,,,,,,,,,
4,4.91,,1.26,16.6,,,,,,,,10.41,82.82,,,,,,,,,,,,,,,,,
4.52,5.57,,1.28,16.6,,,,,,,,13.14,85.55,,,,,,,,,,,,,,,,,
5.02,6.22,,1.3,16.6,,,,,,,,16.1,88.51,,,,,,,,,,,,,,,,,
5.52,6.88,,1.33,16.6,,,,,,,,19.38,91.79,,,,,,,,,,,,,,,,,
6.02,7.56,,1.35,16.61,,,,,,,,22.99,95.4,,,,,,,,,,,,,,,,,
6.54,8.27,,1.37,16.61,,,,,,,,27.11,99.52,,,,,,,,,,,,,,,,,
7.04,8.97,,1.4,16.61,,,,,,,,31.43,103.84,,,,,,,,,,,,,,,,,
7.54,9.68,,1.42,16.61,,,,,,,,36.09,108.51,,,,,,,,,,,,,,,,,
8.04,10.4,,1.44,16.61,,,,,,,,41.12,113.53,,,,,,,,,,,,,,,,,
8.54,11.13,,1.47,16.62,,,,,,,,46.5,118.92,,,,,,,,,,,,,,,,,
9.04,11.87,,1.49,16.62,,,,,,,,52.26,124.67,,,,,,,,,,,,,,,,,
9.54,12.63,,1.51,16.62,,,,,,,,58.39,130.8,,,,,,,,,,,,,,,,,
10.04,13.39,,1.54,16.63,,,,,,,,64.9,137.31,,,,,,,,,,,,,,,,,
10.54,14.17,,1.56,16.63,,,,,,,,71.8,144.21,,,,,,,,,,,,,,,,,
11.04,14.96,,1.58,16.63,,,,,,,,79.09,151.5,,,,,,,,,,,,,,,,,
